id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0.0,ORANG,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,0.0,ORANG,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,0.0,ORANG,2014
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,0.0,ORANG,2014
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,0.0,ORANG,2014
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0.0,ORANG,2014
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2014
9,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0.0,ORANG,2014
10,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,0.0,ORANG,2014
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0.0,ORANG,2014
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2014
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0.0,ORANG,2014
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2014
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0.0,ORANG,2014
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2014
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0.0,ORANG,2014
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0.0,ORANG,2014
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0.0,ORANG,2014
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2014
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0.0,ORANG,2014
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2014
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0.0,ORANG,2014
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,2500.0,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0.0,ORANG,2014
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,56.0,ORANG,2014
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,117663.0,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0.0,ORANG,2014
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,0.0,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0.0,ORANG,2014
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0.0,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0.0,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,0.0,ORANG,2014
36,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,0.0,ORANG,2014
37,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0.0,ORANG,2014
38,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2014
39,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0.0,ORANG,2014
40,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2014
41,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0.0,ORANG,2014
42,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0.0,ORANG,2014
43,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0.0,ORANG,2014
44,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0.0,ORANG,2014
45,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0.0,ORANG,2014
46,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,5926.0,ORANG,2014
47,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0.0,ORANG,2014
48,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2014
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0.0,ORANG,2014
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2014
51,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0.0,ORANG,2014
52,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2014
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0.0,ORANG,2015
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2015
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI ,MANCANEGARA,0.0,ORANG,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI ,NUSANTARA,0.0,ORANG,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,0.0,ORANG,2015
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,0.0,ORANG,2015
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0.0,ORANG,2015
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2015
61,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0.0,ORANG,2015
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,0.0,ORANG,2015
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0.0,ORANG,2015
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2015
65,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0.0,ORANG,2015
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2015
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0.0,ORANG,2015
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2015
69,32,JAWA BARAT,3209,KABUPATEN CIREBON ,MANCANEGARA,0.0,ORANG,2015
70,32,JAWA BARAT,3209,KABUPATEN CIREBON ,NUSANTARA,0.0,ORANG,2015
71,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0.0,ORANG,2015
72,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2015
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0.0,ORANG,2015
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2015
75,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0.0,ORANG,2015
76,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,2500.0,ORANG,2015
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0.0,ORANG,2015
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2015
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,28.0,ORANG,2015
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,117663.0,ORANG,2015
81,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0.0,ORANG,2015
82,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,0.0,ORANG,2015
83,32,JAWA BARAT,3216,KABUPATEN BEKASI ,MANCANEGARA,0.0,ORANG,2015
84,32,JAWA BARAT,3216,KABUPATEN BEKASI ,NUSANTARA,0.0,ORANG,2015
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0.0,ORANG,2015
86,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2015
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0.0,ORANG,2015
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0.0,ORANG,2015
89,32,JAWA BARAT,3271,KOTA BOGOR ,MANCANEGARA,0.0,ORANG,2015
90,32,JAWA BARAT,3271,KOTA BOGOR ,NUSANTARA,0.0,ORANG,2015
91,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0.0,ORANG,2015
92,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2015
93,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0.0,ORANG,2015
94,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2015
95,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0.0,ORANG,2015
96,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0.0,ORANG,2015
97,32,JAWA BARAT,3275,KOTA BEKASI ,MANCANEGARA,0.0,ORANG,2015
98,32,JAWA BARAT,3275,KOTA BEKASI ,NUSANTARA,5926.0,ORANG,2015
99,32,JAWA BARAT,3276,KOTA DEPOK ,MANCANEGARA,0.0,ORANG,2015
100,32,JAWA BARAT,3276,KOTA DEPOK ,NUSANTARA,0.0,ORANG,2015
101,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0.0,ORANG,2015
102,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2015
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0.0,ORANG,2015
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2015
105,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0.0,ORANG,2015
106,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2015
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0.0,ORANG,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2016
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,0.0,ORANG,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,0.0,ORANG,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,3200.0,ORANG,2016
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,200.0,ORANG,2016
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0.0,ORANG,2016
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2016
115,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,2496.0,ORANG,2016
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,225096.0,ORANG,2016
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0.0,ORANG,2016
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0.0,ORANG,2016
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2016
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0.0,ORANG,2016
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0.0,ORANG,2016
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0.0,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0.0,ORANG,2016
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0.0,ORANG,2016
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2016
129,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0.0,ORANG,2016
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,2500.0,ORANG,2016
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0.0,ORANG,2016
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2016
133,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,50.0,ORANG,2016
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2000.0,ORANG,2016
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0.0,ORANG,2016
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,0.0,ORANG,2016
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0.0,ORANG,2016
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0.0,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,0.0,ORANG,2016
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,0.0,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0.0,ORANG,2016
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0.0,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,1690.0,ORANG,2016
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,43067.0,ORANG,2016
145,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0.0,ORANG,2016
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0.0,ORANG,2016
147,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0.0,ORANG,2016
148,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0.0,ORANG,2016
149,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,123.0,ORANG,2016
150,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,56722.0,ORANG,2016
151,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0.0,ORANG,2016
152,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0.0,ORANG,2016
153,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0.0,ORANG,2016
154,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,5926.0,ORANG,2016
155,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0.0,ORANG,2016
156,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0.0,ORANG,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0.0,ORANG,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,0.0,ORANG,2016
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0.0,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,0.0,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0.0,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0.0,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,0.0,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,0.0,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,3200.0,ORANG,2017
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,200.0,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0.0,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0.0,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,2496.0,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,225096.0,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0.0,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0.0,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0.0,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,0.0,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0.0,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0.0,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0.0,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0.0,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0.0,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,0.0,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0.0,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0.0,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0.0,ORANG,2017
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,2500.0,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0.0,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,0.0,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,50.0,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2000.0,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,125.0,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,12579.0,ORANG,2017
